"Usuario","Respuesta","GSC"
"CEO de Retail","El participante tiene una perspectiva positiva sobre la IA, valorando su eficiencia y capacidad de generar insights, aunque reconoce desafíos como la dependencia tecnológica.","Positiva con reservas"
"Director de Finanzas de un Banco","El participante muestra un balance entre reconocimiento de los beneficios y cautela debido a los desafíos de integración y seguridad.","Balanceada e interesado"
"Gerente de Marketing en una Startup","El participante muestra interés y entusiasmo por las posibilidades de la IA, aunque mantiene un grado de cautela y reconocimiento de los desafíos.","Entusiasta"
"Investigador en Tecnología","El participante muestra una actitud de interés y escepticismo hacia la IA generativa, interesado en sus ventajas pero preocupado por sus limitaciones.","Escéptico"
"Profesional Independiente en Diseño Gráfico","El usuario muestra una actitud cautelosa y algo escéptica, valorando la rapidez de la IA pero cuestionando su capacidad para igualar la creatividad humana.","Cauteloso"
"CEO de Retail","El usuario muestra una actitud pragmática hacia la IA, reconociendo tanto sus ventajas como sus limitaciones.","Balanceada e interesado"
"CEO de Retail: Entusiasta","El usuario muestra una actitud entusiasta y positiva hacia el uso de la IA, destacando su mejora en la eficiencia operativa.","Entusiasta"
"CEO de Retail: Escéptico","El participante muestra escepticismo y una actitud cautelosa hacia la adopción de IA.","Escéptico"
"CEO de Retail: Innovador","El participante muestra una actitud positiva y optimista hacia la IA, destacando tanto sus ventajas como los desafíos que implica su uso.","Positiva con reservas"
"CEO de Retail: Tradicionalista","El participante tiene una actitud reservada y muestra escepticismo hacia la integración de la IA generativa, prefiriendo métodos establecidos.","Escéptico"
"CEO de Retail: Experimentador","El participante muestra optimismo cauteloso sobre las posibilidades de la IA en su industria.","Positiva con reservas"
"Director de Finanzas de un Banco: Entusiasta","El participante muestra entusiasmo y confianza en la IA, viendo su potencial para revolucionar su campo de trabajo.","Entusiasta"
"Director de Finanzas de un Banco: Escéptico","El participante muestra una actitud cautelosa y analítica, reconociendo tanto los beneficios como los posibles riesgos de la IA.","Cauteloso"
"Director de Finanzas de un Banco: Innovador","El participante muestra una actitud positiva y esperanzadora hacia la IA, aunque menciona algunos retos por superar.","Positiva con reservas"
"Director de Finanzas de un Banco: Tradicionalista","La actitud del participante es escéptica y considera que la IA aún tiene mucho por demostrar.","Escéptico"
"Director de Finanzas de un Banco: Experimentador","El participante muestra un interés cauteloso hacia la IA, valorando sus beneficios pero consciente de sus limitaciones.","Cauteloso"
"Gerente de Marketing en una Startup: Optimista Creativo","El participante muestra entusiasmo y optimismo hacia la adopción de IA, viendo su potencial para mejorar la eficiencia.","Entusiasta"
"Gerente de Marketing en una Startup: Realista Pragmático","El participante muestra un enfoque equilibrado, reconociendo tanto los beneficios como los desafíos de la IA.","Balanceada e interesado"
"Gerente de Marketing en una Startup: Escéptico Conservador","El participante muestra escepticismo y una clara preocupación por los efectos de la IA en su industria.","Escéptico"
"Gerente de Marketing en una Startup: Explorador Curioso","El participante muestra entusiasmo y optimismo hacia la IA, creyendo en su capacidad para transformar su sector.","Entusiasta"
"Gerente de Marketing en una Startup: Analítico Meticuloso","El participante muestra una actitud positiva y pragmática hacia la IA, consciente de sus beneficios y desafíos.","Positiva con reservas"
"Profesional Independiente en Diseño Gráfico: Entusiasta Creativo","El participante muestra entusiasmo y optimismo por las posibilidades que la IA ofrece en el campo del diseño gráfico.","Entusiasta"
"Profesional Independiente en Diseño Gráfico: Crítico Desencantado","El participante muestra escepticismo hacia la IA, destacando su preferencia por el toque humano en el diseño.","Escéptico"
"Profesional Independiente en Diseño Gráfico: Optimista Casual","El participante muestra una actitud equilibrada respecto a la IA, valorando sus ventajas pero reconociendo sus limitaciones.","Balanceada e interesado"
"Profesional Independiente en Diseño Gráfico: Confundido","El participante muestra una actitud de confusión e incertidumbre hacia el uso de la IA, sin expresar claramente emociones positivas ni negativas.","Neutral"
"Profesional Independiente en Diseño Gráfico: Detallista Emocional","El usuario muestra entusiasmo sobre las posibilidades que la IA ofrece en el ámbito creativo, aunque con cautela sobre sus implicaciones para la autenticidad del arte.","Entusiasta"
"Investigador en Tecnología: Entusiasta Innovador","El participante muestra un enfoque positivo y entusiasta hacia la IA, reconociendo tanto sus beneficios como sus desafíos.","Entusiasta"
"Investigador en Tecnología: Cauteloso Analítico","El participante muestra una actitud cautelosa y reflexiva, consciente de las limitaciones de la IA.","Cauteloso"
"Investigador en Tecnología: Escéptico Crítico","El participante muestra cierto escepticismo y precaución respecto a los resultados generados por la IA en contextos de investigación.","Escéptico"
"Investigador en Tecnología: Soñador Visionario","El participante muestra una actitud positiva, viendo a la IA como una herramienta que puede colaborar con la humanidad para crear un mundo más sostenible y justo.","Entusiasta"
"Investigador en Tecnología: Indiferente Pragmatico","El participante tiene una actitud reservada y pragmática, sin mostrar un gran entusiasmo por la IA, viéndola más como una herramienta estándar que como una revolución.","Neutral"
"Investigador en Tecnología: Cínico Desilusionado","El participante muestra una actitud escéptica y frustrada respecto a las capacidades actuales y el futuro de la IA en la investigación.","Escéptico"
"Investigador en Tecnología: Preocupado por la Ética","El participante muestra una actitud cautelosa y preocupada respecto al uso de la IA, enfatizando más en sus implicaciones éticas que en sus ventajas.","Cauteloso"
"Investigador en Tecnología: Resignado Pragmático","El participante tiene una actitud neutral a ligeramente negativa hacia la IA, reconociendo su utilidad limitada y expresando preferencia por no depender de ella.","Neutral"
"Investigador en Tecnología: Incrédulo Desconfiado","El participante muestra una actitud escéptica y crítica hacia la IA, prefiriendo métodos tradicionales.","Escéptico"
"Investigador en Tecnología: Desanimado Confuso","El participante muestra una actitud negativa y frustrada hacia la IA. Se siente más confundido y frustrado en lugar de beneficiado por su uso.","Escéptico"
"Experto en Telecomunicaciones: Entusiasta Técnico","El participante muestra una actitud positiva frente a la IA, resaltando su potencial transformador.","Entusiasta"
"Analista de Datos: Crítico Meticuloso","El participante tiene una perspectiva pragmática, reconociendo tanto las capacidades de la IA como sus limitaciones y la necesidad de supervisión humana.","Balanceada e interesado"
"Desarrollador de IA: Pragmático Innovador","El participante muestra un enfoque pragmático y positivo hacia la IA, reconociendo tanto sus beneficios como la importancia de su aplicabilidad práctica.","Positiva con reservas"
